Station_ID,Station_Name,Station_Category,lat0,lon0,fE,fN,k0,h0,H0,Undulation,ppm_Max,ppm_Range,ppm_avg,ppm_StdDev
VA_1901,Meschede-Freienohl,6,51.3673,8.1699,5000,10000,1.0000364,232.2,230.9,47.1,,,,
VA_1902,Freienorla,7,50.7722,11.5414,5000,10000,1.0000261,166.9,168.2,46.2,,,,
VA_1903,Freihalden,6,48.3860,10.5032,5000,10000,1.0000775,494.7,500.4,46.8,,,,
VA_1904,Freihoels,7,49.4031,12.0205,5000,10000,1.0000597,380.6,384.7,46.3,,,,
VA_1905,Freihung,6,49.6281,11.9045,5000,10000,1.0000646,412.5,415.9,46.6,,,,
VA_1906,Freilassing,3,47.8379,12.9786,5000,10000,1.0000648,413.5,421.3,45.3,0.9,1.3,0.0,0.3
VA_1907,Freinsheim,4,49.5021,8.2059,5000,10000,1.0000199,126.8,129.1,47.9,,,,
VA_1908,Freising,3,48.3959,11.7464,5000,10000,1.0000685,437.1,444.0,45.6,0.5,0.9,-0.0,0.2
VA_1910,Freital-Cossmannsdorf,-1,50.9782,13.6267,5000,10000,1.0000297,189.2,192.2,43.5,,,,
VA_1911,Freital-Deuben,5,51.0002,13.6477,5000,10000,1.0000271,172.7,175.8,43.4,,,,
VA_1912,Freital-Hainsberg,5,50.9902,13.6397,5000,10000,1.0000284,181.2,184.2,43.5,,,,
VA_1913,Freital-Hainsberg West,6,50.9822,13.6247,5000,10000,1.0000293,186.9,189.9,43.5,,,,
VA_1914,Freital-Potschappel,5,51.0152,13.6647,5000,10000,1.0000249,158.7,161.8,43.4,,,,
VA_1915,Frellstedt,6,52.2154,10.9114,5000,10000,1.0000182,116.3,117.0,43.2,,,,
VA_1916,Fremersdorf,6,49.4111,6.6487,5000,10000,1.0000286,182.4,184.1,48.0,,,,
VA_1917,Frenz,6,51.7503,11.9005,5000,10000,1.0000125,79.9,81.0,43.9,,,,
VA_1918,Fresenburg,7,53.8446,10.3923,5000,10000,1.0000046,29.1,28.8,39.6,,,,
VA_1919,Fretzdorf,7,53.0705,12.5416,5000,10000,1.0000086,54.9,56.2,40.1,,,,
VA_1920,Freudenberg-Kirschfurt,-4,49.7451,9.3191,5000,10000,1.0000216,138.0,139.6,48.2,,,,
VA_1921,Freudenstadt Hbf,5,48.4610,8.4299,5000,10000,1.0001032,658.2,660.9,49.5,,,,
VA_1922,Freudenstadt Stadt,-1,48.4690,8.4119,5000,10000,1.0001158,738.9,741.5,49.5,,,,
VA_1923,Freusburg Siedlung,6,50.8172,7.8979,5000,10000,1.0000319,203.8,202.8,48.1,,,,
VA_1924,Freyburg (Unstrut),7,51.2103,11.7685,5000,10000,1.0000175,111.8,113.0,45.3,,,,
VA_1925,Freyung,-1,48.8040,13.5497,5000,10000,1.0000989,631.3,635.8,46.6,,,,
VA_1926,Frickhofen,6,50.5062,8.0319,5000,10000,1.0000335,213.9,213.5,48.2,,,,
VA_1927,Fridingen (b Tuttlingen),6,48.0329,8.9370,5000,10000,1.0000988,630.6,634.8,48.8,,,,
VA_1928,Fridolfing,-4,47.9849,12.8016,5000,10000,1.0000632,403.1,411.1,44.9,,,,
VA_1929,Friedberg (b Augsburg),5,48.3529,10.9833,5000,10000,1.0000768,489.8,496.0,46.4,,,,
VA_1930,Friedberg (Hess),3,50.3342,8.7630,5000,10000,1.0000230,147.1,147.6,47.9,2.6,4.0,0.5,1.1
VA_1931,Friedelhausen,6,50.6732,8.7120,5000,10000,1.0000267,170.6,170.1,48.0,,,,
VA_1932,Friedenau,4,52.4724,13.3427,5000,10000,1.0000061,38.7,42.0,39.5,,,,
VA_1933,Friedensdorf (Lahn),-4,50.8582,8.5620,5000,10000,1.0000389,248.4,247.4,48.2,,,,
VA_1934,Friedersdorf (b Koenigs Wusterhausen),6,52.2914,13.7888,5000,10000,1.0000052,33.2,36.7,39.6,,,,
VA_1935,Friedewald (Kr Dresden),-4,51.1322,13.6537,5000,10000,1.0000249,159.0,162.0,43.1,,,,
VA_1936,Friedewald (Kr Dresden) Bad,-4,51.1392,13.6637,5000,10000,1.0000277,176.8,179.8,43.1,,,,
VA_1937,Friedland (Han),6,51.4233,9.9162,5000,10000,1.0000278,177.6,177.6,45.9,,,,
VA_1938,Ludwigsau-Friedlos,6,50.8982,9.7442,5000,10000,1.0000312,198.9,199.0,47.2,,,,
VA_1939,Friedrich Wilhelmshuette,5,50.8032,7.1598,5000,10000,1.0000085,54.0,53.9,47.0,,,,
VA_1940,Friedrichroda,7,50.8632,10.5783,5000,10000,1.0000644,411.0,411.8,46.6,,,,
VA_1941,Friedrichsberg,4,53.5775,10.0582,5000,10000,1.0000015,9.6,9.8,39.9,,,,
VA_1942,Friedrichsdorf (Taunus),4,50.2532,8.6460,5000,10000,1.0000301,192.1,192.6,48.0,,,,
VA_1943,Friedrichsfeld (Niederrhein),5,51.6293,6.6457,5000,10000,1.0000038,24.5,24.6,44.6,,,,
VA_1944,Friedrichsfelde Ost,4,52.5154,13.5218,5000,10000,1.0000069,44.0,47.5,39.1,,,,
VA_1945,Friedrichshafen Hafen,5,47.6519,9.4841,5000,10000,1.0000614,391.5,398.7,46.6,,,,
VA_1946,Friedrichshafen Ost,6,47.6529,9.5031,5000,10000,1.0000615,392.4,399.6,46.6,,,,
VA_1947,Friedrichshafen Stadt,3,47.6539,9.4751,5000,10000,1.0000622,396.6,403.7,46.6,1.5,2.1,0.3,0.5
VA_1950,Friedrichsruh,7,53.5295,10.3423,5000,10000,1.0000043,27.2,27.4,40.0,,,,
VA_1951,Friedrichsruhe (Meckl),7,53.5265,11.7405,5000,10000,1.0000077,49.1,49.5,39.7,,,,
VA_1952,Friedrichssegen,6,50.3132,7.6518,5000,10000,1.0000123,78.8,78.9,48.1,,,,
VA_1953,Friedrichstadt,5,54.3786,9.0801,5000,10000,1.0000007,4.5,2.2,39.9,,,,
VA_1954,Friedrichstal (Baden),6,49.1020,8.4750,5000,10000,1.0000172,109.8,112.8,47.9,,,,
VA_1956,Friedrichsthal (Saar),6,49.3211,7.0898,5000,10000,1.0000454,289.6,291.3,48.3,,,,
VA_1957,Friedrichswalde (b Eberswalde),-1,53.0315,13.7048,5000,10000,1.0000121,77.5,80.8,37.9,,,,
VA_1959,Friesack (Mark),6,52.7624,12.5896,5000,10000,1.0000043,27.4,29.5,40.1,,,,
VA_1960,Friesdorf,7,51.5903,11.3034,5000,10000,1.0000365,233.0,233.3,45.2,,,,
VA_1961,Friesdorf Ost,7,51.5993,11.3244,5000,10000,1.0000372,237.6,237.9,45.2,,,,
VA_1962,Friesenheim (Baden),6,48.3830,7.8639,5000,10000,1.0000239,152.3,155.7,48.7,,,,
VA_1963,Frimmersdorf,6,51.0473,6.5667,5000,10000,1.0000098,62.8,63.2,45.7,,,,
VA_1964,Fritzlar,-4,51.1263,9.2831,5000,10000,1.0000271,172.7,172.4,46.9,,,,
VA_1965,Frohburg,6,51.0702,12.5606,5000,10000,1.0000277,176.9,178.9,44.7,,,,
VA_1966,Frohnsdorf,-2,52.0614,12.9007,5000,10000,1.0000115,73.5,76.1,41.4,,,,
VA_1967,Froemern,7,51.5003,7.7369,5000,10000,1.0000308,196.9,196.2,46.1,,,,
VA_1968,Frommern,6,48.2449,8.8730,5000,10000,1.0000885,564.9,568.4,49.1,,,,
VA_1969,Froendenberg,3,51.4723,7.7629,5000,10000,1.0000198,126.4,125.6,46.2,-4.1,5.0,-0.1,0.8
VA_1970,Fronhausen (Lahn),6,50.7072,8.7000,5000,10000,1.0000267,170.6,170.1,48.1,,,,
VA_1971,Frose,6,51.7953,11.3764,5000,10000,1.0000196,125.3,126.2,44.1,,,,
VA_1972,Froettstaedt,5,50.9312,10.5743,5000,10000,1.0000469,299.5,300.3,46.4,,,,
VA_1973,Fulda,2,50.5562,9.6851,5000,10000,1.0000439,279.9,280.2,47.7,2.4,3.3,0.3,0.6
VA_1974,Fuerfurt,6,50.4312,8.2539,5000,10000,1.0000200,127.6,127.4,48.2,,,,
VA_1975,Fuerstenberg (Havel),5,53.1885,13.1407,5000,10000,1.0000092,58.8,60.9,38.8,,,,
VA_1976,Fuersteneck,-1,48.7190,13.4717,5000,10000,1.0000555,354.2,359.4,46.1,,,,
VA_1977,Fuerstenfeldbruck,4,48.1729,11.2633,5000,10000,1.0000818,522.1,528.9,46.1,,,,
VA_1980,Fuerstenwalde (Spree),4,52.3684,14.0618,5000,10000,1.0000060,38.5,42.4,39.0,,,,
VA_1981,Fuerstenwalde (Spree) Sued,7,52.3434,14.0888,5000,10000,1.0000070,44.4,48.3,39.0,,,,
VA_1982,Fuerstenzell,-4,48.5139,13.3356,5000,10000,1.0000552,352.0,358.5,45.3,,,,
VA_1983,Furth (b Deisenhofen),5,48.0369,11.5944,5000,10000,1.0000900,574.3,581.6,45.8,,,,
VA_1984,Fuerth (Bay) Hbf,2,49.4711,10.9913,5000,10000,1.0000459,292.8,296.4,46.8,0.7,1.0,0.0,0.1
VA_1985,Fuerth (Odenw),6,49.6501,8.7820,5000,10000,1.0000308,196.6,198.4,48.1,,,,
VA_1986,Furth im Wald,4,49.3110,12.8406,5000,10000,1.0000628,400.9,404.5,46.8,,,,
VA_1987,Fuerth Westvorstadt,6,49.4701,10.9723,5000,10000,1.0000474,302.2,305.8,46.8,,,,
VA_1988,Fuerth-Burgfarrnbach,5,49.4921,10.9253,5000,10000,1.0000489,312.2,315.7,46.9,,,,
VA_1989,Fuerth-Dambach,6,49.4621,10.9713,5000,10000,1.0000473,301.9,305.5,46.8,,,,
VA_1990,Fuerth-Unterfarrnbach,6,49.4841,10.9683,5000,10000,1.0000476,303.6,307.2,46.8,,,,
